MET_SIEMBRA,CANT_SEMILLA,ORIG_SEMILLA,CABALLONEO,NIVELADO,ARADO,FERT_ORG,USO_PRON_FERT,N_TOTAL,P2O5_TOTAL,K2O_TOTAL,FRACC_FERT,TIPO_RIEGO,HERB,INSECT,INCORP_RES,USO_BIOFERT,REDUC_REND,REND,DENS_AP,CIC,pH,N_SUELO,C_ORG_SUELO,TEXT,PREC_ACUM,TEMP_MIN_PROM,TEMP_MAX_PROM,REL_HUM_PROM,SOL_RAD_ACUM
Siembra_en_surco,200,Propio_lote,1,0,0,Si,No,136.5,27,89,5,Corrido,3,1,Si,No,Alta temperatura,7.56,1.38,19.8,5.4,1.8,22.6,FAr,367.0813847,22.30248322,29.47036737,68.30004358,1842.010758
Voleo_mecanizado,150,Semillista,2,1,0,No,No,102,36,53,4,Corrido,1,1,No,No,Plagas y enfermedades,6.19,1.38,14.4,5.6,2.05,34.4,FAr,269.8362231,23.4200957,32.86776416,49.83331726,2455.24506
Siembra_en_surco,200,Propio_lote,1,1,0,No,No,241.5,126,126,4,Corrido,1,3,No,No,Plagas y enfermedades,5.63,1.34,19.4,5.5,2.24,36.3,FAr,837.2429483,22.34236884,28.92428231,69.1893988,2145.497768
Siembra_en_surco,150,Propio_lote,1,1,0,Si,No,250.2,108,142,4,Corrido,3,2,No,No,Alta temperatura,7.81,1.39,20,5.5,2.03,23.4,FAr,386.3610687,22.11307762,28.47841484,73.47353573,2257.277479
Siembra_en_surco,175,Propio_lote,2,1,0,No,No,183,54,135,5,Corrido,3,3,Si,No,Alta temperatura,8,1.39,13.2,5.4,1.83,21.1,FAr,441.8924694,22.79300889,29.30446777,69.7918934,2964.458669
Siembra_en_surco,120,Propio_lote,0,2,0,Si,No,179.5,45,130.5,4,Inundación,3,0,No,No,Alta temperatura,8.19,1.37,16.4,5.4,1.7,28.7,FAr,456.2554402,23.19573752,31.25571025,58.34495632,2172.466649
Voleo_mecanizado,175,Propio_lote,1,0,0,No,Si,166.5,27,52.5,4,Corrido,3,2,Si,No,Plagas y enfermedades,5,1.38,22.2,5.5,1.85,25.1,FAr,571.386874,22.89792691,30.50565165,64.48034347,2726.599406
Siembra_en_surco,150,Propio_lote,1,1,0,No,No,121.75,39,74.5,5,Corrido,3,1,Si,No,Otro,4.88,1.34,12.7,5.4,2.06,26.7,FAr,527.1401973,22.96651156,30.38303367,64.82037072,2083.838683
Siembra_en_surco,150,Propio_lote,1,0,0,No,No,118.5,72,97.5,4,Corrido,1,2,Si,No,Plagas y enfermedades,5.63,1.37,17.7,5.5,1.99,30.5,FAr,423.7441916,23.17927133,31.17128188,58.66844761,2180.905923
Voleo_manual,189.2307692,Propio_lote,2,0,0,No,No,238.75,57,179.5,3,Corrido,1,0,Si,No,Otro,6.2,1.36,16.6,5.5,1.82,31.4,FAr,725.9631273,22.03438579,28.73363789,69.4946096,2298.265363
Voleo_manual,250,Propio_lote,0,0,0,No,No,115.6008,40,55.7904,6,Inundación,2,2,Si,No,Otro,6.25,1.34,17.3,5.4,2.07,27,FAr,558.2123101,23.65522838,31.30793437,60.17228348,2227.322499
Trasplante_manual,200,Propio_lote,0,1,0,No,Si,202.6,28.8,28.8,7,Inundación,1,0,Si,No,Alta temperatura,6,1.34,17.1,5.3,1.93,32.2,FAr,490.1098454,23.18466227,30.96338694,61.8544417,2543.108756
Voleo_manual,250,Propio_lote,0,1,0,No,No,105.71,25.68,49.24,3,Corrido,0,2,Si,No,Otro,5.94,1.33,19,5.4,1.88,36.8,FAr,485.4220202,22.58826656,28.86213554,72.67245547,1933.93947
Voleo_manual,248,Semillista,0,1,0,No,No,166,36,61.5,4,Inundación,3,3,Si,No,Alta temperatura,3.33,1.35,17.2,5.5,2.14,25.2,FAr,518.181874,23.27897182,31.23922794,58.87882928,2055.510409
Trasplante_manual,100,Propio_lote,0,0,0,No,No,150.5,27,27,1,Inundación,1,1,Si,No,Otro,6.45,1.32,17.7,5.4,2.05,23,FAr,364.6810908,23.20555005,31.03353271,58.46548571,2235.82034
Trasplante_manual,250,Semillista,0,0,0,No,No,146,54,54,2,Inundación,0,0,Si,No,Alta temperatura,9.06,1.35,15.4,5.3,2.3,33.2,FAr,417.3501391,23.15013989,31.28241439,60.25288053,2349.215711
Trasplante_manual,186,Semillista,0,0,0,Si,No,142.38,72,72,2,Inundación,2,1,No,No,Otro,4.11,1.36,22.5,5.6,2.44,32.9,FAr,442.4201822,24.14562456,32.46816928,54.44911588,2188.900704
Trasplante_manual,124,Semillista,0,0,0,No,No,216.46,36,36,4,Inundación,3,3,Si,No,Otro,7.5,1.37,23.6,5.6,2.14,28,FAr,273.6049867,24.71120065,34.14976418,44.71195636,2210.016192
Trasplante_manual,,Semillista,0,0,0,No,No,170.8,36.06,36.06,3,Inundación,2,2,Si,No,Alta temperatura,5.63,1.39,22.1,5.6,2.23,26.5,FAr,563.9829035,24.12507019,32.46099539,54.23168979,2506.544564
Trasplante_manual,,Semillista,0,2,0,No,No,104,45,70.5,3,Inundación,3,2,Si,No,Otro,5.72,1.36,22.5,5.6,2.44,32.9,FAr,454.5248909,24.49537362,33.36553972,48.53445705,2679.658393
Trasplante_manual,200,Propio_lote,0,0,0,No,No,228,54,79.5,3,Inundación,2,0,Si,No,Otro,2.78,1.39,19.6,5.5,2.42,20.1,FAr,416.1157498,24.5145153,33.40247391,48.71957004,2463.374496
Voleo_manual,175,Semillista,0,1,0,No,No,189,36,61.5,4,Inundación,0,0,Si,No,Alta temperatura,6.25,1.34,15.3,5.3,1.91,34.8,FAr,430.5548539,23.3914301,31.65958403,57.83495085,2434.966817
Voleo_manual,,Otro,0,1,0,No,No,203.4,40.5,87.5,4,Inundación,2,0,Si,No,Otro,6.47,1.33,15.2,5.3,1.88,32.4,FAr,271.3087049,23.52654807,32.19362741,54.86625025,2268.026756
Voleo_manual,248,Semillista,0,1,0,No,No,153,36,70,3,Inundación,2,2,Si,No,Otro,5,1.29,14.4,5.4,2.12,34.3,FAr,537.2856669,23.34524583,31.37508045,58.21206915,2118.220405
