EVENT_AFECT,VARIEDAD,MET_SIEMB,CANT_SEM,CABALLONEO,NIVELACION,ARADO,TIPO_RIEGO,FRAC_FERT,N_TOTAL,P2O5_TOTAL,K2O_TOTAL,CONTEO_HERB,CONTEO_INS_FUN,DENS_AP,CIC,pH,TEXTURA,PREC_ACUM,TEMP_MIN_PROM,TEMP_MAX_PROM,HUM_REL_PROM,RAD_SOL_ACUM,MANEJO_RESID,REND
Lluvias_inoportunas,Fedearroz_67,Siembra_en_surco,181.8181818181818,Si,No,No,Corrido,4,205.5,36.0,36.0,3,2,1.4,20.2,5.7,FAr,452.9638900756836,23.034771778137653,31.0409162319772,60.70840432391904,2274678660.0,Quemados,8.13
Altas_temperaturas,Fedearroz_67,Siembra_en_surco,100.0,Si,No,No,Corrido,4,160.42000000000002,36.0,36.0,1,2,1.39,17.4,5.5,FAr,366.5406396389008,23.09234804899791,31.79482864158738,53.39772014341493,2652289508.0,Incorporados,10.13
Helada,Fedearroz_2020,Siembra_en_surco,150.0,Si,Si,No,Corrido,3,64.5,54.0,54.0,2,1,1.22,17.5,5.5,FAr,515.2215781211853,23.250871884506317,31.928468525304144,54.97995801942538,2155623855.0,Ninguno,7.5
Lluvias_inoportunas,Fedearroz_67,Siembra_en_surco,200.0,Si,No,No,Corrido,5,195.2,45.0,126.0,0,2,1.26,18.0,5.5,FAr,576.2648286819458,22.718168673069304,30.80766245890002,59.714699011054826,2526771018.0,Ninguno,6.25
Otro,Otro,Siembra_en_surco,200.0,Si,No,No,Corrido,5,202.0,18.0,18.0,5,3,1.28,19.3,5.5,FAr,656.6866683959961,22.596045411938245,30.179364860144783,62.7826067235348,2401323222.0,Incorporados,6.43
Sequía,Fedearroz_67,Siembra_en_surco,200.0,Si,Si,No,Corrido,5,46.2,0.0,15.0,2,2,1.24,15.4,5.3,FAr,464.419650554657,23.504268094194565,33.04451978729986,48.25399671725141,2476961736.0,Incorporados,6.25
Lluvias_inoportunas,Fedearroz_67,Siembra_en_surco,175.0,Si,No,No,Corrido,4,185.0,13.5,13.5,2,1,1.26,16.5,5.4,FAr,612.0296359062195,21.979401744495696,29.386214932528357,64.57840583107688,1937663613.0,Incorporados,5.0
Lluvias_inoportunas,Otro,Siembra_en_surco,300.0,Si,Si,No,Corrido,5,244.75,0.0,105.0,2,2,1.28,12.4,5.2,FAr,605.8863639831543,22.919359064102125,30.95690236091608,54.87549561262131,2448153126.0,Quemados,5.83
Ninguno,Otro,Voleo_manual,120.0,No,No,Si,Inundacion,1,53.856,11.4048,11.4048,1,1,1.32,20.5,5.5,FAr,320.03321016579866,23.502074813842736,32.13579616546625,51.95088875293732,1765965802.0,Quemados,4.4
Ninguno,Fedearroz_67,Voleo_manual,250.0,No,No,Si,Inundacion,1,56.1,11.88,11.88,1,0,1.35,13.6,5.4,FAr,406.2382005527616,23.38493519658623,31.862214196246544,53.79838664842688,2121780109.0,Quemados,6.354166666666667
Ninguno,Otro,Voleo_manual,225.0,No,No,Si,Inundacion,1,81.18,14.85,14.85,1,0,1.29,14.4,5.4,FAr,411.5514148548245,23.36104959627472,31.783218855198747,54.335426113469815,2273810749.0,Incorporados,8.125
Ninguno,Otro,Trasplante_manual,225.0,No,No,Si,Inundacion,1,13.5,13.5,13.5,1,0,1.32,22.5,5.5,F,495.9837786182761,23.436697732248565,31.028538906958737,59.52959146807271,2240241160.0,Incorporados,7.1875
Ninguno,Otro,Trasplante_manual,125.0,No,No,Si,Inundacion,1,46.0,0.0,0.0,1,1,1.33,16.8,5.4,FAr,386.5702417675348,23.13057936991537,30.71019241711319,59.74069327362313,2216332860.0,Incorporados,7.375
